emails,grade
andrei@outlook.com,7
raides@gmail.com,9
carroll@yahoo.com,6
animats@optonline.com,10
jschauma@aol.com,8
rattenbt@msn.com,5
hutton@att.com,1
pkilab@hotmail.com,7
falcao@aol.com,7
firstpr@mac.com,1
andale@outlook.com,3
sblack@optonline.com,6
dexter@comcast.com,4
webinc@att.com,1
mrdvt@me.com,5
matsn@outlook.com,10
joehall@aol.com,9
tbusch@gmail.com,5
pgottsch@outlook.com,10
leslie@icloud.com,4
philen@gmail.com,10
thurston@yahoo.com,2
rnelson@outlook.com,6
tkrotchko@mac.com,7
gerlo@hotmail.com,3
sagal@aol.com,6
jguyer@sbcglobal.com,3
gknauss@hotmail.com,8
hauma@live.com,9
syrinx@outlook.com,5
kiddailey@outlook.com,4
jdray@comcast.com,2
tristan@yahoo.com,8
gregh@icloud.com,6
esokullu@verizon.com,5
paley@optonline.com,2
muadip@yahoo.com,7
sethbrown@yahoo.com,4
chrwin@yahoo.com,9
vsprintf@icloud.com,9
amichalo@live.com,7
wagnerch@yahoo.com,7
pgottsch@yahoo.com,10
jshirley@msn.com,3
devphil@verizon.com,4
hikoza@comcast.com,8
kmiller@att.com,1
calin@me.com,2
tkrotchko@att.com,10
krueger@comcast.com,1
dawnsong@yahoo.com,7
crusader@icloud.com,8
report@yahoo.com,3
jaffe@optonline.com,2
teverett@icloud.com,10
hamilton@sbcglobal.com,8
avalon@comcast.com,5
greear@verizon.com,2
treeves@sbcglobal.com,1
caidaperl@msn.com,10
wainwrig@msn.com,10
paley@sbcglobal.com,2
mcsporran@yahoo.com,5
presoff@aol.com,4
linuxhack@msn.com,1
wojciech@gmail.com,7
rsmartin@icloud.com,8
adillon@hotmail.com,8
dhrakar@mac.com,10
dawnsong@me.com,2
ilyaz@yahoo.com,8
aracne@gmail.com,7
airship@me.com,10
nullchar@comcast.com,6
xtang@me.com,7
webteam@optonline.com,10
world@mac.com,9
jipsen@mac.com,3
gamma@me.com,9
arebenti@comcast.com,9
rfisher@live.com,7
bonmots@icloud.com,5
pgottsch@icloud.com,8
brainless@aol.com,7
isotopian@outlook.com,2
simone@hotmail.com,2
goresky@gmail.com,9
aschmitz@comcast.com,5
subir@live.com,7
stewwy@att.com,3
singh@mac.com,7
vlefevre@yahoo.com,10
darin@comcast.com,2
milton@msn.com,9
saridder@mac.com,7
jdhedden@me.com,3
sburke@yahoo.com,4
dwendlan@msn.com,4
sblack@gmail.com,8
pontipak@sbcglobal.com,5
